Phrase	Translation
Brian 丢下了自己的财产。	[['Brian left his belongings behind.', 34288.0]]
我采访了他。	[['I interviewed him.', 5085474.0]]
我们能采访他吗？	[['Can we interview him?', 3914402.0]]
彩虹桥有多长？	[['How long is the Rainbow Bridge?', 29540.0]]
彩虹有七种颜色。	[['A rainbow has seven colors.', 4753134.0]]
我没有参与对话。	[["I didn't take part in the conversation.", 29006.0]]
非常感谢你的参与！	[['Thank you very much for your participation!', 7795820.0]]
我没有参与交谈。	[["I didn't participate in the conversation.", 816083.0]]
我要参与。	[['I want to take part.', 10551469.0]]
我想在餐厅工作。	[["I'd like to work at the cafeteria.", 63578.0]]
这是家中国餐厅。	[['This is a Chinese restaurant.', 3377910.0]]
餐厅在哪里？	[["Where's the dining room?", 4704237.0]]
这家餐厅的鱼很好吃。	[['The fish in this restaurant is delicious.', 7794254.0]]
别太操心了，不然会掉头发的。	[["Don't worry too much, or you'll go bald.", 67682.0]]
我们明天有个测验。	[['We have a test tomorrow.', 323248.0]]
你的测验怎么样？	[['How did your test go?', 3408148.0]]
他通过测验了吗?	[['Did he pass the test?', 460866.0]]
我们谈到了昨天的测验。	[["We talked about yesterday's test.", 247938.0]]
当然，她通过了测验。	[['Of course she passed the test.', 388565.0]]
明天有一个数学测验。	[["There's going to be a math test tomorrow.", 2128088.0]]
聪明的学生很快完成了测验。	[['The clever student finished the test quickly.', 325326.0]]
厕所在哪里？	[["Where's the bathroom?", 634087.0]]
你是个厕所！	[['You are a toilet!', 437442.0]]
对不起，附近有厕所吗？	[['Can you tell me where the restrooms are?', 759381.0]]
她在上厕所。	[["She's in the restroom.", 523175.0]]
我可以去厕所吗？	[['May I go to the toilet?', 517394.0]]
有厕所吗？	[['Does it have a toilet?', 35439.0]]
我在厕所。	[["I'm in the toilet.", 2304073.0]]
我要上厕所。	[['I need to go to the bathroom.', 1864529.0]]
我要去上厕所。	[['I need to go to the toilet.', 2721204.0]]
我要去厕所。	[['I have to go to the bathroom.', 1461964.0]]
我在找厕所。	[["I'm looking for the restroom.", 7520757.0]]
看来他曾经是个有钱人。	[['He seemed to have been rich.', 295497.0]]
你曾经想过当个护士吗?	[['Have you ever thought of becoming a nurse?', 20981.0]]
我曾经在中国不到一个月。	[["I've been in China for less than a month.", 825246.0]]
你曾经爱过一个男人吗？	[['Have you ever loved a man?', 55357.0]]
她曾经爱过他。	[['She used to love him.', 887491.0]]
曾经试过，曾经失败过。没关系，再试一次，再次失败，更好地失败。	[['Ever tried. Ever failed. No matter. Try again. Fail again. Fail better.', 4841896.0]]
我曾经每周末都和朋友外出。	[['I used to go out with friends every weekend.', 5189114.0]]
我曾经像猪一样吃。	[['I used to eat like a pig.', 1724649.0]]
少一把叉子。	[['There is a fork missing.', 34390.0]]
我们需要多少把叉子？	[['How many forks do we need?', 8893048.0]]
这把叉子是脏的。	[['This fork is dirty.', 2516418.0]]
请你给我多一把叉子。	[['Bring me another fork, please.', 3258948.0]]
叉子是脏的。	[['The fork is dirty.', 2730924.0]]
我喜欢用这些产品，非常适合我。	[['I like using these goods; they are very suitable for me.', 7837594.0]]
这个国家的主要产品之一是咖啡。	[["One of this country's most important products is coffee.", 2536000.0]]
这个产品是中国制造的。	[['This product was made in China.', 5568134.0]]
他总是与他的妻子吵架。	[['He always quarrels with his wife.', 289121.0]]
那两个人一遇到彼此就开始吵架。	[['Those two people start arguing whenever they meet.', 2367591.0]]
你有车库吗？	[['Do you have a garage?', 2647200.0]]
这个计划彻底的失败了。	[['The project was a complete failure.', 48508.0]]
我们必须把它彻底检查一下。	[['We have to thoroughly investigate it.', 5313631.0]]
我们保持了沉默。	[['We kept quiet.', 248957.0]]
我想最好还是保持沉默。	[['I thought it best to remain silent.', 323679.0]]
我认为她的沉默就是表示拒绝。	[['I interpreted her silence as a refusal.', 261297.0]]
我不会保持沉默的。	[["I won't stay silent.", 3962722.0]]
我们决定要保持沉默。	[["We've decided to remain silent.", 665754.0]]
你是怎么称呼你父亲的呢？	[['What do you call your father?', 70800.0]]
第一次听到弟弟称呼我姐姐。	[['This is the first time I\'ve heard my little brother call me "big sister."', 10251190.0]]
他称赞了我。	[['He paid me a compliment.', 297481.0]]
我来承担失败的责任。	[['I take accountability for my mistake.', 8903342.0]]
我承认这可能不是最好的方法。	[['I admit that this may not be the best way of doing it.', 7182577.0]]
他承认他错了吗？	[['Did he admit that he was wrong?', 298821.0]]
我承认他是对的。	[['I admit that he is right.', 283927.0]]
你应该承认自己的失败。	[['You should acknowledge your failure.', 16026.0]]
我承认我错了。	[["I admit I'm wrong.", 713297.0]]
他承认没有参加考试。	[['He was admitted without taking the exam.', 388907.0]]
我承认我很累。	[["I confess that I'm tired.", 4756800.0]]
我承认我不知道怎么做。	[["I admitted that I didn't know how to do that.", 6237513.0]]
他承认他胖了。	[['He admitted that he was overweight.', 7393739.0]]
他的努力没有成果。	[['Nothing has resulted from his efforts.', 287229.0]]
从无到有，这叫成就。	[['Going from not having to having – that’s success.', 2367516.0]]
他成立了自己的公司的时候还不到二十岁。	[['He was still in his teens when he founded a company.', 294643.0]]
我把成语全部还给老师了。	[['I gave all of the Chinese proverbs back to the teacher.', 4728784.0]]
现在的人教育程度比以前高得多。	[['The level of education of contemporary people is far higher than it has been in the past.', 3133764.0]]
这是程度的问题。	[['That is a matter of degrees.', 42215.0]]
我在一定程度上同意你的意见。	[['I agree with you to some extent.', 67189.0]]
可以相信他到什么程度？	[['To what extent can he be trusted?', 37472.0]]
电影持续了2个小时。	[['The film lasted 2 hours.', 2440.0]]
我已经持续读了一个小时了。	[['I had been reading for an hour.', 252462.0]]
雪从明天开始下，一直持续一个星期。	[["Starting tomorrow, it's going to snow for a week.", 452958.0]]
那持续了多久了？	[['How long did that take?', 5068282.0]]
看看这天气会不会持续，会很有意思。	[['It will be interesting to see whether this weather continues.', 3680860.0]]
好天气能持续到明天吗？	[['Will the fine weather keep up till tomorrow?', 57766.0]]
会议持续多久？	[['How long will the meeting last?', 2542096.0]]
鸟有翅膀。	[['Birds have wings.', 1476885.0]]
花园里充满了花朵。	[['The garden was filled with flowers.', 44964.0]]
她慢慢地重复了一遍她的名字。	[['She repeated her name slowly.', 314744.0]]
老师要我们重复这个字。	[['The teacher made us repeat the word.', 272949.0]]
你能重复一遍吗？	[['Could you please repeat that?', 2242.0]]
能不能请你重复一下？	[['Can you repeat that, please?', 3329632.0]]
不好意思，能请您重复一遍吗？	[['I beg your pardon?', 24940.0]]
你有过一个你会重复做的梦吗？	[['Did you ever have a recurring dream?', 8943668.0]]
我再给你重复最后一遍。	[["I'm repeating it for you one last time.", 6021682.0]]
我的宠物生病了。	[['My pet is sick.', 1388183.0]]
我把它放在抽屉里。	[['I put it in the drawer.', 42572.0]]
我在你的桌子抽屉里找到了这个。	[['I found this in your desk drawer.', 3330550.0]]
我把它放在了抽屉里。	[['I put it in the drawer.', 42572.0]]
他小心地把他的东西放进了抽屉。	[['He carefully put his things in the drawer.', 10461262.0]]
一些抽象艺术是很难理解的。	[['Some abstract art is difficult to understand.', 277567.0]]
他写了一本书，但是没有钱出版。	[['He has written a book, however, he has no money to publish it.', 9069636.0]]
他在运动会上的表现十分出色。	[['He was able to put up remarkable performances at the sports competition.', 471373.0]]
出席的学生不下五百人。	[['No fewer than five hundred students were present.', 72563.0]]
只有六人出席了会议。	[['There were only six people at the meeting.', 427813.0]]
你和我其中一个要出席这次的会议。	[['Either you or I must attend the meeting.', 71417.0]]
我会出席会议的。	[['I will be at the meeting.', 2845997.0]]
你能出席，我真高兴。	[["I'm glad you could come.", 71293.0]]
这位朋友没有出席。	[['The friend was absent.', 324423.0]]
许多国家的代表出席了会议。	[['Delegates from many countries participated in the conference.', 274962.0]]
我们没有必要出席这个讲座。	[["It's not necessary for us to attend this lecture.", 7197023.0]]
昨天我出席了会议。	[['I attended the meeting yesterday.', 257756.0]]
所有学生都出席了。	[['All of the students were present.', 21340.0]]
你能代替我出席会议吗?	[['Can you fill in for me at the meeting?', 3565108.0]]
他出席了会议。	[['He was present at the meeting.', 290611.0]]
除非我死了！	[['Over my dead body.', 272627.0]]
除非有人跟他说话，他从来不说话。	[['He never speaks unless spoken to.', 288309.0]]
除非有人跟他说话，他不说话。	[['He did not speak unless spoken to.', 304845.0]]
除非我问你，请你不要说话。	[["Don't speak till spoken to.", 9401869.0]]
首先我们必须处理这个问题。	[['To begin with, we must tackle the problem.', 32762.0]]
我会处理这个问题。	[["I'll deal with this problem.", 6898771.0]]
我们有很多问题要处理。	[['We have a lot of problems to deal with.', 247348.0]]
让我来处理。	[['Let me handle this.', 25537.0]]
她在处理问题。	[['She is working on the problem.', 311423.0]]
我们应该怎么处理这个问题呢？	[['How shall we deal with this matter?', 56661.0]]
不知道她应该怎么处理那个问题。	[["I don't know how she should deal with this.", 3633864.0]]
我们要快点处理这问题。	[["We've got to do something about this problem soon.", 4013254.0]]
我们明天处理它。	[["We'll deal with it tomorrow.", 3377086.0]]
你想怎么处理？	[['How do you want this handled?', 2013503.0]]
你从来没时间处理重要的事情！	[['You never have time for important things!', 1494.0]]
这些照片被处理过。	[['These photos have been shopped.', 1168514.0]]
他不能处理好复杂情况。	[["He doesn't cope with complicated situations.", 10540267.0]]
我的感冒传染了他.	[['I gave my cold to him.', 260485.0]]
他把感冒传染给我了。	[['He gave me a cold.', 284558.0]]
我们要尊重传统文化。	[['We must have respect for tradition.', 22801.0]]
她拉上了窗帘。	[['She drew up the curtain.', 310649.0]]
她把窗帘挂在窗户上。	[['She hung a curtain over the window.', 315533.0]]
Karlo有理解和创造的能力。	[['Karlo has the ability to understand and create.', 6017541.0]]
我买磁带。	[['I buy tapes.', 435445.0]]
她决定辞职了。	[['She decided to resign.', 521662.0]]
你为什么辞职？	[['Why did you quit?', 36413.0]]
他没有选择，只能辞职。	[['He has no choice but to resign.', 293183.0]]
他有可能辞职吗?	[["Is there any chance that he'll resign?", 400137.0]]
他有可能辞职吗？	[['Is there any possibility of his resigning?', 283836.0]]
他辞职了。	[['He quit.', 1580339.0]]
我一点也没有要辞职的意思。	[['I have no intention of resigning.', 258351.0]]
我们匆忙地去火车站了。	[['We hurried to the train station.', 395890.0]]
我们很匆忙。	[["We're in a hurry.", 262958.0]]
她匆忙地离开了这里。	[['She left here in a hurry.', 388962.0]]
以前，我散步的时候感觉有点匆忙。	[['While walking, I used to feel somewhat in a hurry.', 858946.0]]
他写得很匆忙。	[['He wrote it hurriedly.', 2258557.0]]
我们再也不能一起回到从前了。	[['We will never be able to return to the way things were in the past.', 2682274.0]]
我们从前从没有过这个问题。	[["We've never had this problem before.", 4493575.0]]
他和从前不一样。	[['He is different from what he used to be.', 300557.0]]
我从前和你一样穷。	[['I used to be poor like you.', 2544393.0]]
她从事律师职业多年。	[['She practised as a barrister for many years.', 4752676.0]]
你有从事什么工作的经验?	[['What job experience do you have?', 680886.0]]
它也会促进城市的经济发展。	[["It will also help to strengthen the city's economy.", 765315.0]]
爱不存在。	[["Love doesn't exist.", 818295.0]]
他不存在。	[["He doesn't exist.", 1228020.0]]
爱存在吗？	[['Does love exist?', 1743386.0]]
我们存在吗？	[['Do we exist?', 803702.0]]
要是脸书上没有你，你就不存在！	[["If you're not on Facebook, you don't exist!", 496533.0]]
你很诚实地承认了你的错误。	[['You are honest to admit your mistake.', 264778.0]]
我需要为错误负责。	[['I am responsible for the mistake.', 250063.0]]
没有错误。	[['There were no mistakes.', 4501047.0]]
这本书充满了错误。	[['This book is full of errors.', 1676686.0]]
我要求说明这个错误。	[['I demand an explanation for this mistake.', 58679.0]]
这份报告完全错误。	[['The report is utterly false.', 44041.0]]
你的文章里有些错误。	[['There are few mistakes in your composition.', 17143.0]]
老师指出了你的错误。	[['The teacher pointed out your mistakes.', 272861.0]]
句子里有一个错误。	[['There is a mistake in the sentence.', 2621245.0]]
他承认了自己的错误。	[['He admitted his mistakes.', 298705.0]]
它是我们的错误。	[["It's our fault.", 2249149.0]]
我承认了我的错误。	[['I have acknowledged my mistake.', 7772963.0]]
你认为谁是错误的？	[['Who do you think made the mistake?', 7818273.0]]
我为这个错误负责。	[["I'm responsible for the mistake.", 6873055.0]]
我答应你我永远不会离开你。	[["I promise you that I won't ever leave you.", 7199342.0]]
你到底答应吗？	[['Did you eventually respond?', 5176758.0]]
我答应他我今天会来。	[['I promised him that I would come today.', 257601.0]]
我承认我没有做我答应做的。	[["I admitted that I didn't do what I promised I'd do.", 7182928.0]]
谢谢您答应到来。	[['Thanks for agreeing to come.', 4016627.0]]
谢谢你答应到来。	[['Thanks for agreeing to come.', 4016627.0]]
我答应过他今天会来。	[["I promised him that I'd come today.", 10179176.0]]
我答应了。	[['I promised.', 2123633.0]]
他答应我四点来。	[['He promised me that he would come at four.', 288570.0]]
我们尝试达到标准。	[['We tried to come up to the standard.', 263261.0]]
价格已经达到了十三年以来的最高点。	[['Prices have reached a 13-year high.', 1141302.0]]
她大方地道歉。	[['She had the decency to apologize.', 265402.0]]
他够大方，借了我一点钱。	[['He was kind enough to lend me some money.', 300036.0]]
你太大方了。	[["You're too generous.", 2218447.0]]
你喜欢大象。	[['You like elephants.', 20120.0]]
大象有长鼻子。	[['An elephant has a long nose.', 268258.0]]
有一个大型超市。	[["There's a large supermarket.", 9052503.0]]
我不需要贷款了。	[['I do not need a loan anymore.', 30339.0]]
他从银行得到了贷款。	[['He got a loan from the bank.', 295545.0]]
你可以从银行贷款。	[['You can get a loan from a bank.', 16201.0]]
我叔叔让我担任翻译。	[['My uncle had me act as a translator.', 2150791.0]]
我想和你单独谈谈。	[["I'd prefer to speak to you in private.", 5930337.0]]
如果你单独去看她, 她会很高兴的。	[['She will be glad if you go to see her in person.', 71397.0]]
她答应不单独外出。	[['She promised not to go out alone.', 312077.0]]
我想让他单独去做。	[['I want him to do it alone.', 3904743.0]]
我有时候走路去上班，有时候骑自行车去上班，因为我家离单位很近。	[['Sometimes I walk to work, and sometimes I ride my bike, because I live very close to work.', 388098.0]]
你为什么会出现在我工作单位？	[['Why would you appear in my unit?', 7768565.0]]
在我的单位，我是最年轻的。	[["I'm the youngest in my department.", 10551454.0]]
我真的很倒霉！	[['How unlucky I am!', 36100.0]]
他倒霉极了。	[['He is shit out of luck.', 941386.0]]
谁是您最喜欢的导演？	[['Who is your favourite director?', 4844607.0]]
他是个富有才能的年轻导演。	[['He is a talented young director.', 6956848.0]]
是什么原因导致你昨天没来。	[['What prevented you from coming yesterday?', 36383.0]]
看来有几个原因导致了他的失败。	[['There seem to be several reasons for his failure.', 286547.0]]
我们什么时候到达？	[['When do we arrive?', 1709.0]]
我不知道我们会到达哪里。	[["I don't know where we'll arrive.", 24534.0]]
他是第一个到达的人。	[['He was the first person to arrive.', 283663.0]]
中午到达那里是不可能的。	[["It's impossible to get there by noon.", 271622.0]]
当你到达的时候他还在这里吗？	[['Was he still here when you arrived?', 71338.0]]
我们准时到达了办公室。	[['We arrived at the office on time.', 64909.0]]
我们会在一小时内到达。	[["We'll arrive there within an hour.", 73157.0]]
走了五分钟，我们就到达了公园。	[["Five minutes' walk brought us to the park.", 72473.0]]
为了准时到达那里，我们叫了出租车。	[['We took a taxi so as to reach there on time.', 29095.0]]
这个学校对学生的道德标准要求很高。	[['This school sets high moral standards for pupils.', 271857.0]]
在我看来，他是有道理的。	[['In my opinion, he is correct.', 388737.0]]
是什么道理？	[["What's the reason?", 751759.0]]
那是有道理的。	[['That makes sense.', 780859.0]]
这个消息没有道理。	[["This message doesn't make sense.", 60449.0]]
你有道理。	[["You're right.", 411667.0]]
也许您有道理。	[["Perhaps you're right.", 1898277.0]]
只好坐下来等待。	[['There was no choice but to sit and wait.', 243634.0]]
所有你能做的就是等待。	[['All you can do is wait.', 693917.0]]
所有您要做的，就是等待。	[['All you have to do is to wait.', 16519.0]]
我们必须等待。	[['We must wait.', 2241410.0]]
它是值得等待的。	[["It's worth the wait.", 3818774.0]]
不要等待！	[["Don't wait.", 1292208.0]]
她耐心的等待他。	[['She waited patiently for him.', 669933.0]]
请耐心等候检查的结果。	[['Please wait until we get the results of the examination.', 239084.0]]
省下了一分钱，就等于赚了一分钱。	[['A penny saved is a penny earned.', 73206.0]]
她的确是正确的。	[["She's correct for sure.", 388879.0]]
电视的确有一些缺点。	[['It is true that television also has some disadvantages.', 39239.0]]
她一个敌人也没有。	[["She doesn't have any enemies at all.", 1045362.0]]
她没有敌人。	[['She has no enemies.', 751048.0]]
我没有敌人。	[["I don't have any enemies.", 673109.0]]
他后悔对敌人出卖了他的国家。	[['He repented having betrayed his country to the enemy.', 301731.0]]
我知道谁是我的敌人。	[['I know who my enemy is.', 695242.0]]
你是你自己最大的敌人。	[['You are your own worst enemy.', 5331127.0]]
我们最大的敌人不是别人，可能是自己。	[['Our biggest enemies may not be other people, but ourselves.', 7773700.0]]
我认为它是我的敌人。	[['I think it is my enemy.', 7825942.0]]
敌人的敌人是朋友。	[['The enemy of my enemy is my friend.', 1517827.0]]
爱你的敌人。	[['Love your enemies.', 6211906.0]]
我们都是敌人。	[["We're enemies.", 6597905.0]]
你是敌人。	[["You're the enemy.", 2549173.0]]
您是我的敌人。	[["You're my enemy.", 2549405.0]]
他喜欢地理和历史。	[['He likes geography and history.', 301471.0]]
这地区很安静。	[['The area was quiet.', 433994.0]]
周围的地区非常安静。	[['The surrounding area was very quiet.', 433992.0]]
在地毯上睡觉好极了。	[['Sleeping on a carpet is great.', 465502.0]]
我不想买这张地毯。	[["I don't want to buy this carpet.", 760556.0]]
狗在地毯上睡觉。	[['The dog was sleeping on the mat.', 48267.0]]
窗帘和地毯都重新换过了。	[['Curtains and carpets were renewed.', 63834.0]]
这地毯在质量上比那个好得多。	[['This carpet is superior to that one in quality.', 61254.0]]
他卖旧地毯。	[['He sells old carpets.', 9164545.0]]
我们要为这个房间买新地毯。	[['We must buy a new carpet for this room.', 57291.0]]
大地震发生的时候，我才十岁。	[['When the big earthquake occurred, I was just ten.', 45483.0]]
昨天发生了一场地震。	[['There was an earthquake yesterday.', 349092.0]]
我感觉到地震了。	[['I felt the earth shake.', 259415.0]]
日本有许多地震。	[['There are many earthquakes in Japan.', 281577.0]]
今天早上发生了地震。	[['There was an earthquake this morning.', 242258.0]]
有今天有点头疼。	[['I have a bit of a headache today.', 9408766.0]]
我想吃蛋糕当点心。	[["I'd like to have cake for dessert.", 39476.0]]
吃点心是坏习惯。	[['Eating snacks is a bad habit.', 8640451.0]]
啊，吃点心的时间到了。	[["Ahh, it's dim sim time.", 8640455.0]]
你现在有几块电池呀？	[['How many batteries do you have right now?', 4761242.0]]
这些电池，虽然是新的，但是没用。	[["The batteries aren't working, even though they're new.", 8788813.0]]
他上电台了。	[['He is on the radio.', 296529.0]]
你最喜欢的电台是什么？	[["What's your favorite radio station?", 906855.0]]
这是豆腐。	[['This is tofu.', 3377900.0]]
那是豆腐。	[['That is tofu.', 3377902.0]]
这是不是豆腐？	[['Is this tofu?', 3377914.0]]
你必须独立完成。	[['You have to do it by yourself.', 881397.0]]
我想要独立完成工作。	[['I want to finish the work on my own.', 258234.0]]
每一个字的意思都是独特的。	[['No two words are identical in meaning.', 273674.0]]
我看电视度过了星期六的下午。	[['I spent Saturday afternoon watching entirely too much TV.', 254597.0]]
谢谢你让我度过一个愉快的晚上。	[['Thank you for the pleasant evening.', 21292.0]]
危险还没有度过。	[['The danger has not passed yet.', 8249311.0]]
我不喜欢他怎么对待他人。	[['I do not like the way he treats others.', 260691.0]]
你的对手有四人。你一定会输的。	[["It's four against you. You'll be beaten up.", 274130.0]]
你不是他的对手。	[["You're no match for him.", 526545.0]]
自己赢不重要，重要的是对手要输。	[['The important thing is not to win, but that the other loses.', 5026121.0]]
你对于现在的年轻人有什么看法？	[['What do you think about young people today?', 242578.0]]
对于这个计划我同意他的意见。	[['I agreed with him on the plan.', 249633.0]]
对于他的工作我很满意。	[['I am pleased with his work.', 260629.0]]
对于我，我不反对。	[['As for me, I have no objection.', 255143.0]]
我知道这对于你不容易。	[["I know this hasn't been easy for you.", 3921630.0]]
多亏了冷夏，啤酒卖的不好。	[['Thanks to a cold summer, beer has sold poorly.', 326061.0]]
多亏有了他，我们才能在这里。	[["We're here thanks to him.", 10534798.0]]
还有多余的盐吗？	[['Is it too salty?', 995263.0]]
你有多余的钥匙吗？	[['Do you have an extra key?', 3564976.0]]
他为什么在躲藏？	[['Why is he hiding?', 1304615.0]]
今天天气比昨天恶劣多了。	[["Today's weather is much worse than yesterday's.", 3964129.0]]
恶劣的天气。	[['This is atrocious weather.', 7241290.0]]
恶劣的天气对他的健康带来了影响。	[['The bad weather affected his health.', 680097.0]]
它发表在哪里？	[['Where was it published?', 3821329.0]]
你还在发抖。	[["You're still shivering.", 2218412.0]]
所有被发明的都是真的。	[['All that which is invented, is true.', 1633.0]]
电脑是最近才发明的。	[['The computer is a recent invention.', 54555.0]]
不知道是谁发明的呢？	[['I wonder who invented it.', 276247.0]]
爱不过是发明。	[['Love is only an invention.', 2609482.0]]
那是谁发明的？	[['Who invented that?', 2254855.0]]
玻璃是谁发明的？	[['Who invented glass?', 9286713.0]]
眼镜是谁发明的？	[['Who invented glasses?', 2254854.0]]
他突然发言了。	[['All at once, he spoke out.', 280713.0]]
大使馆就在最高法院旁边。	[['The embassy is located next to the Supreme Court.', 275707.0]]
他反复读了好几遍她寄来的信，还是没明白她的意思。	[['Over and over again, he read the letter she had mailed him, but he still did not understand it.', 1159917.0]]
我们的身体会对我们的感情做出反应。	[['Our bodies respond to our feelings.', 23476.0]]
他来找你的时候，当时你是什么反应？	[['What kind of reaction did you have when he came looking for you?', 3060486.0]]
她反应很快。	[['She has a very quick mind.', 2259132.0]]
反正一样。	[['Makes no difference anyway.', 10081680.0]]
这方案听起来不错。	[['That sounds like a fairly good proposal.', 36515.0]]
如果有什么更好的解决方案，我一定第一时间通知您。	[["If there's a better solution, then I'll notify you about it as soon as possible.", 2432170.0]]
她不喜欢我说话的方式。	[["She doesn't like the way I speak.", 314395.0]]
我喜欢你走路的方式。	[['I like the way you walk.', 63695.0]]
我不喜欢以这种方式被对待。	[["I don't like being treated like this.", 253832.0]]
我觉得我和你一起住影响了你生活的方式。	[['I think my living with you has influenced your way of living.', 1384.0]]
他适应了新的生活方式。	[['He got accustomed to the new way of living.', 299912.0]]
没有联系他的方式。	[["There's no way to get in touch with him.", 285199.0]]
他在适应新的生活方式上有问题。	[['He has problems with adapting to lifestyle changes.', 299913.0]]
请提供联系方式。	[['Please provide contact details.', 827191.0]]
那种生活方式不适合我。	[["I can't live that kind of life.", 1315.0]]
以这种方式钱是重要的。	[['Money is important in this way.', 915563.0]]
我不喜欢他笑的方式。	[['I dislike how he smiles.', 260679.0]]
我喜欢你说话的方式。	[['I like the way you talk.', 953520.0]]
我很抱歉用这种方式把你请来。	[['I apologize for the methods used to get you here.', 4297295.0]]
我记得你以前跳舞的方式。	[['I remember the way you used to dance.', 4083734.0]]
他用他自己的方式工作。	[['He works in his own way.', 7770340.0]]
我妨碍着你吗？	[['Am I in your way?', 1060164.0]]
一些人通过阅读来放松。	[['Some people relax by reading.', 280594.0]]
只是个玩笑。放松点!	[['It was just a joke. Lighten up!', 601258.0]]
她来这里放松的吗？	[['Did she come here to relax?', 388301.0]]
你为什么不坐下来放松一下。	[["Why don't you sit down and relax?", 243626.0]]
放松点吧。	[['Just relax.', 1555685.0]]
你最好放松。	[["You'd better take it easy.", 3349517.0]]
我很放松。	[["I'm relaxed.", 2111695.0]]
我还要更放松。	[['I want to relax more.', 7816789.0]]
放松吧。	[['Relax.', 1722133.0]]
我要你放松一下。	[['I want you to relax.', 2011505.0]]
没有任何肥皂。	[["There isn't any soap.", 448962.0]]
这是什么废话？	[['What is this nonsense?', 482376.0]]
她坚持认为自己的分析是正确的。	[['She persists in saying that her analysis is correct.', 314732.0]]
她坚持自己的分析是正确的。	[['She maintains that her analysis is correct.', 2658079.0]]
我得奋斗。	[['I have to fight.', 2280303.0]]
我为我家人奋斗。	[['I struggle for my family.', 7781087.0]]
即使他道歉了，我还是很愤怒。	[["Even though he apologized, I'm still furious.", 1399.0]]
这让我非常愤怒。	[['This makes me so angry.', 5548463.0]]
这让我愤怒。	[['This makes me angry.', 5548459.0]]
你喜欢什么风格的音乐？	[['What kind of music do you like?', 2954145.0]]
不是你的风格。	[["It's not your style.", 1664103.0]]
她说话有自己的风格。	[['She had an individual style of speaking.', 313510.0]]
你想要哪种风格的家具？	[['What style of furniture would you like?', 2270139.0]]
一个国家的风俗习惯反映了它的文化。	[['The manners and customs of a country reflect its culture.', 67247.0]]
风险太大。	[['The risk is too great.', 497959.0]]
我不担心风险。	[["I don't worry about the risk.", 5240989.0]]
有风险。	[['There were risks.', 4501858.0]]
我为你疯狂。	[['I am crazy about you.', 2621186.0]]
梦想能让我疯狂。	[['Dreams can make me crazy.', 1033598.0]]
今天疯狂的热。	[["It's insanely hot today.", 242747.0]]
那是疯狂的。	[['That is insane.', 1411225.0]]
我的猫很疯狂。	[['My cat is mad.', 1445876.0]]
有时候， Dennis真的很疯狂。	[['Sometimes Dennis is really crazy.', 1750719.0]]
你否认你去了那里吗?	[['Do you deny that you went there?', 16626.0]]
我应该服从。	[['I should obey.', 7830346.0]]
不能根据服装来判断一个人。	[["You can't judge a person based on clothing.", 1144451.0]]
我拒绝了付款。	[['I refused to pay.', 1935327.0]]
我想用信用卡付款。	[["I'd like to pay by credit card.", 62773.0]]
妇女也是人。	[['Women are people.', 5097115.0]]
我希望改进自己的工作态度。	[['I hope to improve my attitude to work.', 814215.0]]
它有改善了。	[["It's improved.", 435785.0]]
他认为太极拳改善了他的生活。	[['He believes that Tai Ji has improved his life.', 814148.0]]
我努力地改善我的成绩。	[['I made efforts to improve my grades.', 258963.0]]
请改正以下句子。	[['Correct the following sentences.', 264326.0]]
请改正错误。	[['Please correct the errors.', 960613.0]]
我觉得这个网站的概念非常好。	[['I really like the concept of this website.', 386740.0]]
关于这个我几乎没什么概念。	[['I know almost nothing about it.', 33298.0]]
我明白这概念。	[['I understand the concept.', 4666468.0]]
你干脆也来吧。	[['You might as well come, too.', 8952157.0]]
如果你能教我怎么做，我会很感激。	[["I'd be grateful to you if you could teach me to do that.", 6108349.0]]
我不明白他的感受。	[["I can't understand his feelings.", 402981.0]]
那就是我的感受。	[["That's exactly how I feel.", 3591708.0]]
来感受一下这个。	[['Feel this.', 1972624.0]]
告诉我你的感受。	[["Tell me how you're feeling.", 3200451.0]]
我明白你的感受。	[['I understand your feelings.', 2396147.0]]
我知道你的感受。	[['I know how you feel.', 20318.0]]
我要赶紧了!	[['I have to hurry!', 705285.0]]
最好赶紧离开！	[['Better run away immediately!', 2690343.0]]
我觉得你应该赶紧走。	[['I think you should leave as soon as you can.', 4703119.0]]
赶紧去做！	[['Just do it!', 9282141.0]]
赶快!	[['Hurry up.', 1329.0]]
赶快回家。	[['Go home quickly.', 274014.0]]
您要赶快些。	[['You must hurry up.', 69497.0]]
她住在他的隔壁。	[['She lives next door to him.', 316456.0]]
他住在我们隔壁。	[['He lives next door to us.', 294558.0]]
那是住在隔壁的男人。	[["That's the man who lives next door.", 67028.0]]
隔壁家的姐姐的孩子都7岁大了。	[['The child of the lady next door is already seven years old.', 2610600.0]]
这场革命已经带来了很多改变。	[['The revolution has brought about many changes.', 21659.0]]
革命万岁！	[['Long live the Revolution!', 9707126.0]]
你对我的个性还不太清楚。	[["There are a lot of things you don't know about my personality.", 2196.0]]
我的个性还有很多方面是你不了解的。	[["There are a lot of things you don't know about my personality.", 2196.0]]
我根本不累。	[["I'm not at all tired.", 51271.0]]
很可能等待着我们的幸福根本不是我们要的那种幸福。	[['It may be that the happiness awaiting us is not at all the sort of happiness we would want.', 1523.0]]
你根本不需要买那书。	[["You needn't have bought that book.", 63237.0]]
